ID;Estado;Cidade;Nome;Categoria;Endereco;Site;Fonte;Telefones;Emails;WhatsApp;Instagram;Facebook;LinkedIn;Distancia (km)
11424;PR;Guarapuava;"CENTRO DE REPRODUÇÃO ASSISTIDA DE ...";REPRODUCAO_HUMANA;"";https://creag.com.br/;serper;"4236235656,55429107538";"";"api.whatsapp.com/send?phone=554291075384";"instagram.com/creagpr";"facebook.com/CREAGPR";"";198
11425;PR;Guarapuava;"Projeto Sonhos";REPRODUCAO_HUMANA;"";https://creag.com.br/projeto-sonhos-2/;serper;"";"";"";"";"";"";198
11426;PR;Guarapuava;"Fertilização In Vitro (FIV)";REPRODUCAO_HUMANA;"";https://creag.com.br/fertilizacao-in-vitro-fiv/;serper;"";"";"";"";"";"";198
11427;PR;Guarapuava;"Reprodução assistida garante filhos biológicos a casais ...";REPRODUCAO_HUMANA;"";https://redesuldenoticias.com.br/noticias/reproducao-assistida-garante-filhos-biologicos-a-casais-homoafetivos/;serper;"41996297907,42999572264,55419962979";"atendimento@portalrsn.com.br";"wa.me/,wa.me/5541996297907";"instagram.com/portalrsn";"facebook.com/portalRSN,facebook.com/sharer";"";198
11428;PR;Guarapuava;"Gerar in Vitro: Início";REPRODUCAO_HUMANA;"";https://gerarinvitro.com.br/;serper;"3123421619,31980374934,31998650313";"";"wa.me/5531988954384,wa.me/5531998123851";"instagram.com/gerarinvitro,instagram.com/p";"facebook.com/gerarinvitro";"linkedin.com/company/gerarinvitroreproducaohumana";198
11431;PR;Guarapuava;"CREAG CENTRO DE REPRODUCAO ASSISTIDA DE ...";OUTROS;"";https://empresas.serasaexperian.com.br/consulta-gratis/CREAG-CENTRO-DE-REPRODUCAO-ASSISTIDA-DE-GUARAPUAVA-LTDA-ME-28246147000185;serper;"29397972722";"";"";"instagram.com/serasa_experian";"facebook.com/serasaexperian";"linkedin.com/company/serasaexperian";198
11432;PR;Guarapuava;"Celape Laboratórios | Centro Laboratorial Periolo - Análises ...";LABORATORIO_GENETICA;"";https://celape.com.br/;serper;"4230354542,42998460304,55429984603";"";"api.whatsapp.com/send?phone=5542998460304";"instagram.com/laboratoriocelape";"facebook.com/laboratoriocelape";"";198
11433;PR;Guarapuava;"Atendimento especializado em genética";LABORATORIO_GENETICA;"";https://laboratoriogoes.com.br/glossario/laboratorio-goes-guarapuava-pr-atendimento-especializado-em-genetica/;serper;"4236239003,55429101703";"";"wa.me/554291017034";"instagram.com/laboratoriogoes";"";"";198
11434;PR;Guarapuava;"Exames genéticos e painel somático, (laboratório parceiro ...";LABORATORIO_GENETICA;"";https://capg.com.br/exame/exames-geneticos-e-painel-somatico-laboratorio-parceiro-de-apoio/;serper;"4230355008,42999840007,55429998400";"";"api.whatsapp.com/send?phone=5542999840007";"";"";"";198
11435;PR;Guarapuava;"IPEC: Início";OUTROS;"";https://ipec.org.br/;serper;"4233032610,55423303261";"";"api.whatsapp.com/send?phone=554233032610";"instagram.com/ipecguarapuava";"facebook.com/InstitutoParaPesquisadoCancer";"linkedin.com/company/ipec-guarapuava";198
11436;PR;Guarapuava;"Conheça as opções disponíveis em Guarapuava PR";LABORATORIO_GENETICA;"";https://laboratoriogoes.com.br/glossario/exames-geneticos-preventivos-conheca-as-opcoes-disponiveis-em-guarapuava-pr/;serper;"4236239003,55429101703";"";"wa.me/554291017034";"instagram.com/laboratoriogoes";"";"";198
11437;PR;Guarapuava;"Laboratórios do Câmpus Cedeteg - Guarapuava";OUTROS;"";https://www3.unicentro.br/cedeteg/laboratorios/;serper;"4236298102,4236298185";"dircampcedeteg@unicentro.br";"";"instagram.com/unicentropr";"facebook.com/unicentropr";"";198
11438;PR;Guarapuava;"Laboratório Góes e Goes Genética: união de clínica e ...";LABORATORIO_GENETICA;"";https://laboratoriogoes.com.br/glossario/laboratorio-goes-e-goes-genetica-uniao-de-clinica-e-molecular/;serper;"4236239003,55429101703";"";"wa.me/554291017034";"instagram.com/laboratoriogoes";"";"";198
11439;PR;Guarapuava;"CAPG – Centro de Apoio em Patologia de Guarapuava -";OUTROS;"";https://capg.com.br/;serper;"4230355008,42999840007,55429998400";"";"api.whatsapp.com/send?phone=5542999840007";"";"";"";198
11441;PR;Guarapuava;"Medprev Guarapuava - Unidade Bonsucesso - PR";OUTROS;"";https://medprev.online/unidade/guarapuava-bonsucesso/;serper;"";"";"";"";"";"";198
11442;PR;Guarapuava;"Check-up Hormonal Masculino: Exames de prolactina e ...";LABORATORIO_ANALISES;"";https://laboratoriogoes.com.br/glossario/check-up-hormonal-masculino-exames-de-prolactina-e-testosterona-em-guarapuava-pr/;serper;"4236239003,55429101703";"";"wa.me/554291017034";"instagram.com/laboratoriogoes";"";"";198
